,ADM,Credito,Entrada,Prazo,Parcelas,Cod,Vencimento,Transferencia,
Auto,Porto,125.100,43.000,34,3.487,C127,15/08/2025,"1.472,00",Disponivel
Auto,Bradesco,125.300,82.500,52,01 x 1.715 + 51 x 1.286,C117,10/08/2025,"800,00",Disponivel
Auto,Itau,125.600,54.000,51,2.600,C03,15/08/2025,"650,00",Disponivel
Auto,Porto,125.700,57.000,35,2.807,C07,15/08/2025,Consultar,Disponivel
Auto,Itau,126.000,57.000,51,2.545,C03,15/08/2025,"650,00",Disponivel
Auto,Porto VP,128.145,63.000,61,1.874,C127,15/08/2025,"1.451,00",Reservada
Auto,Itau,130.450,54.000,63,1.952,C29,15/08/2025,650,Destaque
Auto,Porto VP,130.450,65.000,106,1.057,C127,15/08/2025,"1.800,00",Disponivel
Auto,Itau,131.746,38.000,46,3.372,C92,Consultar,650,Disponível
Auto,Itau,132.086,38.000,45,3.416,C92,Consultar,650,Disponível
Auto,Itau,132.376,44.000,47,3.064,C92,Consultar,650,Disponível
Auto,Itau,132.376,45.560,47,3.064,C131,15/08/2025,"650,00",Disponivel
Auto,Itau,132.376,50.000,47,2.865,C92,Consultar,650,Disponível
Auto,Bradesco,133.500,92.000,42,01 x 2.321 + 41 x 1.453,C117,10/08/2025,"800,00",Disponivel
Auto,Itau,134.978,49.000,50,2.807,C92,Consultar,650,Disponível
Auto,Porto VP,135.450,67.000,64,1.918,C127,15/08/2025,"1.934,00",Disponivel
Auto,Itau-15,137.200,48.000,36,3.686,C62,05/08/2025,"1.300,00",Disponível
Auto,Porto VP,137.200,77.500,63,1.732,C127,15/08/2025,"1.957,00",Disponivel
Auto,Porto VP,139.000,78.000,63,1.732,C07,15/08/2025,Consultar,Disponivel
Auto,Itau,139.065,41.000,38,3.772,C92,Consultar,650,Disponível
Auto,Itau,144.690,34.000,31,5.394,C92,Consultar,650,Disponível
Auto,Itau,145.936,35.000,33,5.260,C92,Consultar,650,Disponível
Auto,Itau,146.384,45.000,38,3.970,C92,Consultar,650,Disponível
Auto,Itau,150.500,62.000,68,"63 x 2.242 + 05 x 290,00",C29,15/08/2025,1.300,Destaque
Auto,Porto,154.260,59.000,61,2.524,C07,15/08/2025,Consultar,Disponivel
Auto,Bradesco,161.600,115.000,40,01 x 3.030 + 39 x 1.465,C117,10/08/2025,"800,00",Disponivel
Auto,Porto,163.000,105.850,26,3.440,C07,15/08/2025,Consultar,Disponivel
Auto,Itau,174.950,68.000,63,37 x 3.117 + 29 x 1.952,C29,15/08/2025,1.300,Destaque
Auto,Bradesco,179.000,104.500,50,2.275,C117,10/08/2025,Consultar,Disponivel
Auto,Porto VP,180.370,88.900,61,2.678,C127,15/08/2025,"1.809,00",Disponivel
Auto,Bradesco,183.000,99.000,52,2.473,C117,10/08/2025,Consultar,Disponivel
Auto,Itau,192.362,54.000,40,5.234,C92,Consultar,650,Disponível
Auto,Porto VP,203.000,87.000,105,2.153,C23,15/08/2025,"2.200,00",Disponivel
Auto,Porto VP,206.150,93.000,63,2.901,C127,15/08/2025,"1.957,00",Disponivel
Auto,Itau,209.000,92.000,54,3.580,C03,15/08/2025,"650,00",Disponivel
Auto,Bradesco,212.000,97.000,30,5.012,C11,10/08/2025,Consultar,Reservada
Auto,Itau,212.000,99.900,79,2.287,C09,05/08/2025,Consultar,Disponivel
Auto,Itau,218.000,64.000,42,5.679,C62,15/08/2025,"650,00",Disponível
Auto,Porto VP,223.000,153.000,60,1.367,C10,15/07/2025,"3.175,00",Disponivel
Auto,Porto VP,223.000,165.400,60,1.367,C07,15/08/2025,Consultar,Disponivel
Auto,Bradesco,227.300,133.000,50,01 x 3.283 + 49 x 2.783,C117,10/08/2025,Consultar ,Disponivel
Auto,Itau - J,252.000,111.000,51,5.090,C03,15/08/2025,"1.300,00",Disponivel
Auto,Itau,252.786,57.000,29,9.919,C92,Consultar,650,Disponível
Auto,Itau,254.983,64.000,40,6.947,C92,Consultar,650,Disponível
Auto,Itau,258.943,72.000,42,6.772,C92,Consultar,650,Disponível
Auto,Disal,260.000,112.000,87,2.932,C07,20/08/2025,Consultar,Disponivel
Auto,Itau - J,260.000,72.000,42,6.908,C62,15/08/2025,"1.300,00",Disponível
Auto,Itau,280.000,86.000,48,6.295,C62,15/08/2025,"650,00",Disponível
Auto,Itau,285.930,87.250,42,7.759,C131,15/08/2025,"650,00",Disponivel
Auto,Itau - J,286.600,72.000,42,36 x 7.516 + 06 x 5.679,C62,05/08/2025,"1.300,00",Disponível
Auto,Itau,308.200,106.000,44,7.269,C92,Consultar,650,Disponível
Auto,Itau,312.000,138.000,46,5.539,C62,15/08/2025,"650,00",Disponível
Auto,Volks,317.000,138.000,95,3.147,C07,15/08/2025,Consultar,Disponivel
Auto,Itau - J,354.000,148.000,46,6.537,C62,15/08/2025,"1.300,00",Disponível
Auto,Mycon,354.248,133.939,99,3.741,C38,21/08/2025,Consultar,Disponivel
Auto,Sicredi,355.600,217.000,59,3.341,C07,11/08/2025,Consultar,Disponivel
Auto,Itau - J,380.000,155.000,46,36 x 7.437 + 10 x 5.539,C62,15/08/2025,"1.300,00",Disponível
Auto,Porto VP,417.500,209.000,75,4.524,C07,15/08/2025,Consultar,Disponivel
Auto,Itau - J,418.000,180.000,54,7.160,C03,15/08/2025,"1.300,00",Disponivel
Auto,Itau - J,530.000,195.000,46,42 x 11.218 + 04 x 5.539,C62,15/08/2025,"1.300,00",Disponível
Auto,Itau - J,627.000,270.000,54,10.740,C03,15/08/2025,"1.950,00",Disponivel
Auto,Caixa,701.500,355.000,80,7.279,C07,15/08/2025,Consultar,Disponivel
Auto,Itau - J,836.000,360.000,54,14.420,C03,15/08/2025,"2.600,00",Disponivel
Imovel,Porto,50.500,25.000,189,264,C07,15/08/2025,Consultar,Disponivel
Imovel,Caixa,54.000,32.000,163,376,C07,10/08/2025,Consultar,Disponivel
Imovel,Porto,56.000,28.000,189,"11 x 347,00 + 178 x 313,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Caixa,57.200,33.000,161,382,C07,10/08/2025,Consultar,Disponivel
Imovel,Caixa,57.800,35.500,159,382,C07,10/08/2025,Consultar,Disponivel
Imovel,Itau,60.000,32.900,151,460,C09,05/08/2025,Consultar,Disponivel
Imovel,Mycon,60.183,30.000,150,394,C209,07/08/2025,"300,92",Disponivel
Imovel,Mycon,62.411,48.600,49,348,C209,08/08/2025,"284,99",Disponivel
Imovel,Rodobens,62.563,27.900,198,538,C35,Consultar,Consultar,Disponivel
Imovel,Porto,63.000,31.500,189,345,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,63.195,27.000,191,444,C35,Consultar,Consultar,Disponivel
Imovel,Mycon,64.053,31.000,168,457,C209,08/08/2025,"400,00",Disponivel
Imovel,Mycon,65.878,33.000,155,383,C209,07/08/2025,"333,39",Disponivel
Imovel,Mycon,70.117,34.400,154,430,C209,07/08/2025,"479,78",Disponivel
Imovel,Rodobens,70.211,31.500,182,536,C35,Consultar,Consultar,Disponivel
Imovel,Porto,70.900,39.000,188,400,C70,15/08/2025,"1.000,00",Disponivel
Imovel,Porto,70.900,41.000,188,400,C07,15/08/2025,Consultar,Disponivel
Imovel,Rodobens,70.946,31.500,195,470,C35,Consultar,Consultar,Disponivel
Imovel,Porto,71.560,38.500,163,406,C07,15/08/2025,Consultar,Disponivel
Imovel,Porto,73.000,33.000,178,489,C11,15/08/2025,Consultar,Disponivel
Imovel,Porto,73.500,37.000,188,400,C70,15/08/2025,"1.000,00",Disponivel
Imovel,Porto,73.500,43.500,188,400,C07,15/08/2025,Consultar,Disponivel
Imovel,Mycon,80.101,38.500,161,553,C209,07/08/2025,"500,00",Disponivel
Imovel,Mycon,80.101,38.500,161,553,C209,08/08/2025,"500,00",Disponivel
Imovel,Porto,82.700,33.000,103,02 x 2.070 + 101 x 798,C127,15/08/2025,Consultar,Disponivel
Imovel,Porto,83.500,31.000,68,"2 x 1.782,00 + 66 x 1.298,00",C07,15/08/2025,Consultar,Disponivel
Imovel,Mycon,84.845,41.100,175,560,C209,08/08/2025,"527,65",Disponivel
